punk_attribute
Alien                   9                               3                               0                13.34KΞ
Ape                   24                               4                               2.6KΞ                3.5KΞ
Zombie                   88                               5                               825Ξ                1.6KΞ
Female                   3840                               413                               59.27Ξ                81Ξ
Male                   6039                               715                               74.33Ξ                80.95Ξ
Beanie                   44                               8                               331.33Ξ                420.69Ξ
Choker                   48                               11                               0                135Ξ
Pilot Helmet                   54                               12                               192.50Ξ                180Ξ
Tiara                   55                               12                               129.98Ξ                179Ξ
Orange Side                   68                               18                               117.32Ξ                115Ξ
Buck Teeth                   78                               12                               79.16Ξ                99.95Ξ
Welding Goggles                   86                               11                               76.94Ξ                115Ξ
Pigtails                   94                               18                               83.46Ξ                130Ξ
Pink With Hat                   95                               11                               82.84Ξ                130Ξ
Top Hat                   115                               23                               142.39Ξ                154.99Ξ
Spots                   124                               16                               43.43Ξ                87.99Ξ
Rosy Cheeks                   128                               18                               75.92Ξ                89.68Ξ
Blonde Short                   129                               8                               47.93Ξ                118.88Ξ
Wild White Hair                   136                               13                               91.65Ξ                96.89Ξ
Cowboy Hat                   142                               21                               158.92Ξ                199Ξ
Wild Blonde                   144                               15                               105.99Ξ                116.97Ξ
Straight Hair Blonde                   144                               23                               70.53Ξ                85Ξ
Big Beard                   146                               21                               88.36Ξ                118Ξ
Red Mohawk                   147                               14                               57.97Ξ                85Ξ
Half Shaved                   147                               16                               57.35Ξ                87Ξ
Blonde Bob                   147                               13                               68.50Ξ                95Ξ
Vampire Hair                   147                               23                               73.87Ξ                94Ξ
Clown Hair Green                   148                               23                               67.93Ξ                92.87Ξ
Straight Hair Dark                   148                               15                               57.35Ξ                84.99Ξ
Straight Hair                   151                               18                               69.12Ξ                85Ξ
Silver Chain                   156                               31                               75.42Ξ                86.69Ξ
Dark Hair                   157                               21                               45.76Ξ                82.95Ξ
Purple Hair                   165                               23                               68.43Ξ                84.95Ξ
Gold Chain                   169                               34                               94.95Ξ                94.95Ξ
Medical Mask                   175                               25                               70.39Ξ                90.69Ξ
Tassle Hat                   178                               22                               69.08Ξ                84.68Ξ
Fedora                   186                               29                               79.80Ξ                87.87Ξ
Police Cap                   203                               19                               71.96Ξ                95Ξ
Clown Nose                   212                               28                               67.85Ξ                87.99Ξ
Smile                   238                               37                               73.53Ξ                95Ξ
Cap Forward                   254                               27                               83.60Ξ                98.69Ξ
Hoodie                   259                               32                               241.66Ξ                315Ξ
Front Beard Dark                   260                               34                               61.17Ξ                88.95Ξ
Frown                   261                               45                               76.24Ξ                84.95Ξ
Purple Eye Shadow                   262                               19                               58.82Ξ                82.69Ξ
Handlebars                   263                               34                               80.14Ξ                88.85Ξ
Blue Eye Shadow                   266                               30                               52.22Ξ                84.50Ξ
Green Eye Shadow                   271                               31                               50.95Ξ                82.95Ξ
Vape                   272                               34                               76.39Ξ                88.88Ξ
Front Beard                   273                               30                               61.71Ξ                92.88Ξ
Chinstrap                   282                               39                               55.86Ξ                83.95Ξ
3D Glasses                   286                               38                               156.78Ξ                149Ξ
Luxurious Beard                   286                               45                               78.99Ξ                91.95Ξ
Mustache                   288                               25                               69.10Ξ                92Ξ
Normal Beard Black                   289                               44                               102.19Ξ                95Ξ
Normal Beard                   292                               31                               78.39Ξ                84.85Ξ
Eye Mask                   293                               29                               69.17Ξ                90Ξ
Goat                   295                               41                               61.71Ξ                86.69Ξ
Do-rag                   300                               32                               67.92Ξ                86.69Ξ
Shaved Head                   300                               35                               53.73Ξ                80.95Ξ
Muttonchops                   303                               35                               85.87Ξ                80.95Ξ
Peak Spike                   303                               26                               64.22Ξ                88.85Ξ
Pipe                   317                               55                               83.50Ξ                82.50Ξ
VR                   332                               48                               95.11Ξ                105Ξ
Cap                   351                               46                               72.15Ξ                87.99Ξ
